#Simulation time: 64.20
#Flow at exit NaN( ID 0 )
#Time (s)  cummulative number of agents 

1.750000  1
7.550000  2
16.100000  3
16.150000  4
18.400000  5
20.150000  6
22.900000  7
24.100000  8
26.150000  9
28.150000  10
30.150000  11
33.600000  12
34.150000  13
36.150000  14
36.150000  15
38.150000  16
40.150000  17
42.100000  18
44.150000  19
46.100000  20
48.100000  21
48.150000  22
50.100000  23
50.500000  24
52.250000  25
54.250000  26
56.200000  27
58.100000  28
60.150000  29
62.100000  30
64.150000  31

