#Simulation time: 100.00
#Flow at exit exit( ID 0 )
#Time (s)  cummulative number of agents 

0.218750  1
0.218750  2
1.062500  3
2.062500  4
2.062500  5
3.062500  6
4.062500  7
5.062500  8
6.062500  9
6.062500  10
7.062500  11
7.062500  12
8.062500  13
8.062500  14
9.062500  15
10.062500  16
11.062500  17
11.062500  18
12.031250  19
13.062500  20
13.062500  21
14.062500  22
14.062500  23
15.062500  24
15.062500  25
16.062500  26
17.062500  27
18.062500  28
19.062500  29
20.062500  30
21.031250  31
22.062500  32
23.062500  33
23.062500  34
24.062500  35
25.062500  36
26.062500  37
27.062500  38
28.031250  39
29.062500  40
30.062500  41
31.718750  42
32.906250  43

